annotation_id,image_id,category_id,bbox_x,bbox_y,bbox_w,bbox_h,score
1,1,1900,160,251,200,128,1.0
2,1,16551,573,84,371,396,0.99
3,1,27926,599,673,258,490,0.99
4,1,16548,171,743,174,282,0.86
5,10,16548,103,806,235,242,1.0
6,10,1900,645,844,189,190,0.99
7,10,29451,103,225,399,236,0.95
8,10,21771,642,292,188,180,0.93
9,10,27777,653,295,188,168,0.28
10,100,1900,133,243,193,165,1.0
11,100,16548,586,130,233,227,1.0
12,100,33009,514,790,386,208,0.99
13,100,20014,47,735,304,302,0.91
14,100,16262,41,738,295,317,0.59
15,1003,3483,607,791,276,211,1.0
16,1003,16232,648,185,193,181,1.0
17,1003,27733,124,767,315,276,1.0
18,1003,34597,29,153,454,413,0.98
19,1004,3483,122,306,272,202,1.0
20,1004,27733,568,262,297,268,1.0
21,1004,16232,141,893,198,189,1.0
22,1004,34597,507,650,459,455,0.98
23,1005,3483,579,759,274,210,1.0
24,1005,16232,620,178,186,182,1.0
25,1005,34597,28,118,433,440,0.99
26,1005,27733,81,735,322,278,0.79
27,1005,35206,82,726,327,283,0.43
28,1006,3483,605,845,274,189,1.0
29,1006,25367,46,175,446,429,1.0
30,1006,25469,50,858,374,218,1.0
31,1006,20238,615,192,230,221,0.99
32,1007,3483,575,811,278,193,1.0
33,1007,25367,30,149,434,430,1.0
34,1007,20238,588,192,224,215,1.0
35,1007,25469,16,813,384,220,1.0
36,1009,3483,576,810,276,193,1.0
37,1009,16262,546,186,241,230,1.0
38,1009,25469,14,811,385,222,1.0
39,1009,22347,77,196,205,198,0.99
40,1010,3483,605,845,274,189,1.0
41,1010,16262,572,195,247,232,1.0
42,1010,25469,51,858,372,217,1.0
43,1010,22347,90,208,211,198,0.99
44,1012,1900,142,241,198,128,1.0
45,1012,16548,612,158,231,223,1.0
46,1012,27926,572,630,259,485,0.98
47,1012,16548,138,705,177,283,0.85
48,1013,1900,631,892,207,135,1.0
49,1013,16548,104,863,241,241,1.0
50,1013,27926,142,142,261,457,0.98
51,1013,16548,633,274,178,261,0.92
52,1014,16548,640,166,239,225,1.0
53,1014,1900,161,251,201,127,1.0
54,1014,27926,600,676,258,485,0.99
55,1014,16548,169,748,183,274,0.88
56,1015,3483,652,750,209,267,1.0
57,1015,35206,661,175,222,404,1.0
58,1015,30308,72,127,394,406,1.0
59,1015,20877,116,767,333,231,1.0
60,1016,35206,96,672,237,414,1.0
61,1016,3483,143,292,212,256,1.0
62,1016,30308,532,726,407,406,1.0
63,1016,20877,544,294,328,234,1.0
64,1018,3483,122,308,270,199,1.0
65,1018,29667,87,864,234,227,1.0
66,1018,30308,438,739,467,307,1.0
67,1018,27733,563,257,298,264,1.0
68,1019,3483,608,790,275,211,1.0
69,1019,30308,98,205,458,300,1.0
70,1019,29667,666,179,229,217,1.0
71,1019,27733,127,775,318,275,1.0
72,102,1900,150,253,200,166,1.0
73,102,16548,612,137,241,226,1.0
74,102,33009,546,832,373,204,0.99
75,102,20014,81,783,304,292,0.87
76,102,16262,74,786,294,306,0.61
77,1020,3483,580,759,273,209,1.0
78,1020,29667,635,179,223,212,1.0
79,1020,30308,83,182,450,308,1.0
80,1020,27733,87,734,324,280,0.98
81,1022,1900,147,242,186,179,0.99
82,1022,33208,585,815,213,204,0.96
83,1022,29451,14,807,441,217,0.95
84,1022,16551,628,21,274,454,0.86
85,1022,30308,651,6,287,500,0.3
86,1023,1900,166,247,185,184,1.0
87,1023,29451,72,846,409,216,0.98
88,1023,33208,609,845,212,196,0.94
89,1023,16551,651,16,300,475,0.93
90,1023,30308,668,8,304,514,0.28
91,1025,3483,144,291,210,258,1.0
92,1025,16262,108,838,251,242,1.0
93,1025,20877,543,294,328,233,1.0
94,1025,28763,640,861,230,214,0.99
95,1026,3483,652,748,207,268,1.0
96,1026,16262,628,191,247,236,1.0
97,1026,20877,114,770,338,230,1.0
98,1026,28763,134,203,212,208,1.0
99,1027,3351,353,882,191,192,1.0
100,1027,13900,190,286,199,228,1.0
101,1027,22074,602,261,186,188,0.96
102,1028,16232,137,780,190,190,1.0
103,1028,3351,391,155,186,190,1.0
104,1028,13900,553,707,208,249,1.0
105,1029,3351,435,214,186,185,1.0
106,1029,13900,595,799,201,241,1.0
107,1029,16232,181,868,187,191,0.99
108,1030,3483,581,759,273,209,1.0
109,1030,34597,40,138,445,425,0.99
110,1030,27733,560,122,266,378,0.92
111,1030,27733,83,734,321,279,0.76
112,1030,35206,90,729,318,283,0.54
113,1030,35206,565,124,262,372,0.38
114,1034,3483,149,219,250,223,1.0
115,1034,19861,644,277,211,171,1.0
116,1034,28763,650,881,222,216,0.99
117,1034,36637,97,909,267,160,0.99
118,1039,3483,604,844,275,190,1.0
119,1039,16262,572,194,247,233,1.0
120,1039,25469,51,858,372,219,1.0
121,1039,28763,129,212,210,207,1.0
122,104,21325,617,759,174,231,1.0
123,104,3351,326,203,181,189,1.0
124,104,18357,106,608,256,369,0.99
125,1041,3483,127,272,268,190,1.0
126,1041,16262,166,834,250,245,1.0
127,1041,28763,651,851,222,217,0.99
128,1041,25469,573,231,377,219,0.99
129,1043,35206,510,604,243,416,1.0
130,1043,3351,314,168,183,189,1.0
131,1043,18357,49,627,277,359,0.99
132,1044,35206,552,708,237,400,1.0
133,1044,3351,353,228,185,183,1.0
134,1044,18357,89,720,272,357,0.99
135,1045,3483,625,721,208,270,1.0
136,1045,20877,48,757,329,252,1.0
137,1045,29667,593,178,222,217,1.0
138,1045,28763,132,212,211,206,1.0
139,1046,3483,651,749,208,268,1.0
140,1046,20877,74,800,329,240,1.0
141,1046,28763,150,222,217,202,1.0
142,1046,29667,624,182,223,215,0.99
143,1047,3483,144,290,210,257,1.0
144,1047,20877,590,260,321,238,1.0
145,1047,28763,624,845,221,211,0.99
146,1047,29667,134,863,227,228,0.99
147,1050,2483,648,70,200,515,1.0
148,1050,3743,130,850,272,272,0.92
149,1050,12778,83,174,353,481,0.86
150,1050,22362,607,774,256,411,0.84
151,1050,19552,98,166,348,488,0.43
152,1051,2483,92,681,229,476,1.0
153,1051,3743,546,196,266,265,0.91
154,1051,25367,482,644,379,490,0.64
155,1051,13395,137,109,220,417,0.56
156,1051,19552,498,664,379,460,0.55
157,1051,12081,143,99,206,445,0.49
158,1051,3544,555,163,268,305,0.25
159,1053,2483,616,51,219,487,1.0
160,1053,3743,101,805,273,265,0.87
161,1053,19552,93,90,370,448,0.76
162,1053,13395,590,712,220,443,0.74
163,1053,12081,586,685,220,464,0.56
164,1053,25367,64,76,389,476,0.38
165,1053,31863,107,795,259,272,0.31
166,1055,3483,570,771,278,203,1.0
167,1055,29667,643,186,224,216,1.0
168,1055,27733,81,733,329,270,0.97
169,1055,31885,52,37,428,481,0.96
170,1056,3483,603,803,270,201,1.0
171,1056,29667,677,189,225,218,1.0
172,1056,27733,115,774,327,266,1.0
173,1056,31885,62,48,435,488,0.97
174,1057,2483,613,65,242,477,1.0
175,1057,25438,111,827,250,261,0.99
176,1057,12778,84,76,331,502,0.97
177,1057,13395,636,703,230,448,0.7
178,1057,12081,640,684,226,477,0.34
179,1057,3832,643,689,211,470,0.33
180,1058,2483,599,110,253,450,1.0
181,1058,25438,113,838,259,270,0.99
182,1058,12778,92,98,328,508,0.92
183,1058,3832,662,697,208,471,0.76
184,1058,13395,647,720,237,465,0.4
185,1058,19552,97,121,318,498,0.25
